word,pair,type,freq,file,register
less,more/less,subtract,4922,w_mag_1992.txt,magazine
most,most/least,add,7607,w_mag_1992.txt,magazine
least,most/least,subtract,1399,w_mag_1992.txt,magazine
many,many/few,add,4563,w_mag_1992.txt,magazine
few,many/few,subtract,2658,w_mag_1992.txt,magazine
increase,increase/decrease,add,1343,w_mag_1992.txt,magazine
decrease,increase/decrease,subtract,128,w_mag_1992.txt,magazine
add,add/subtract,add,3518,w_mag_1993.txt,magazine
subtract,add/subtract,subtract,25,w_mag_1993.txt,magazine
addition,addition/subtraction,add,884,w_mag_1993.txt,magazine
subtraction,addition/subtraction,subtract,4,w_mag_1993.txt,magazine
plus,plus/minus,add,385,w_mag_1993.txt,magazine
minus,plus/minus,subtract,56,w_mag_1993.txt,magazine
more,more/less,add,11242,w_mag_1993.txt,magazine
less,more/less,subtract,5107,w_mag_1993.txt,magazine
most,most/least,add,7272,w_mag_1993.txt,magazine
least,most/least,subtract,1436,w_mag_1993.txt,magazine
many,many/few,add,4514,w_mag_1993.txt,magazine
few,many/few,subtract,2697,w_mag_1993.txt,magazine
increase,increase/decrease,add,1183,w_mag_1993.txt,magazine
decrease,increase/decrease,subtract,81,w_mag_1993.txt,magazine
add,add/subtract,add,3616,w_mag_1994.txt,magazine
subtract,add/subtract,subtract,21,w_mag_1994.txt,magazine
addition,addition/subtraction,add,735,w_mag_1994.txt,magazine
subtraction,addition/subtraction,subtract,4,w_mag_1994.txt,magazine
plus,plus/minus,add,367,w_mag_1994.txt,magazine
minus,plus/minus,subtract,45,w_mag_1994.txt,magazine
more,more/less,add,11646,w_mag_1994.txt,magazine
less,more/less,subtract,5068,w_mag_1994.txt,magazine
most,most/least,add,7552,w_mag_1994.txt,magazine
least,most/least,subtract,1442,w_mag_1994.txt,magazine
many,many/few,add,4523,w_mag_1994.txt,magazine
few,many/few,subtract,2827,w_mag_1994.txt,magazine
increase,increase/decrease,add,1070,w_mag_1994.txt,magazine
decrease,increase/decrease,subtract,94,w_mag_1994.txt,magazine
add,add/subtract,add,3460,w_mag_1995.txt,magazine
subtract,add/subtract,subtract,18,w_mag_1995.txt,magazine
addition,addition/subtraction,add,702,w_mag_1995.txt,magazine
subtraction,addition/subtraction,subtract,1,w_mag_1995.txt,magazine
plus,plus/minus,add,403,w_mag_1995.txt,magazine
minus,plus/minus,subtract,51,w_mag_1995.txt,magazine
more,more/less,add,11359,w_mag_1995.txt,magazine
less,more/less,subtract,4954,w_mag_1995.txt,magazine
most,most/least,add,7331,w_mag_1995.txt,magazine
least,most/least,subtract,1423,w_mag_1995.txt,magazine
many,many/few,add,4520,w_mag_1995.txt,magazine
few,many/few,subtract,2777,w_mag_1995.txt,magazine
increase,increase/decrease,add,1169,w_mag_1995.txt,magazine
decrease,increase/decrease,subtract,141,w_mag_1995.txt,magazine
add,add/subtract,add,3869,w_mag_1996.txt,magazine
subtract,add/subtract,subtract,31,w_mag_1996.txt,magazine
addition,addition/subtraction,add,767,w_mag_1996.txt,magazine
subtraction,addition/subtraction,subtract,6,w_mag_1996.txt,magazine
plus,plus/minus,add,558,w_mag_1996.txt,magazine
minus,plus/minus,subtract,44,w_mag_1996.txt,magazine
more,more/less,add,11227,w_mag_1996.txt,magazine
less,more/less,subtract,4872,w_mag_1996.txt,magazine
most,most/least,add,7364,w_mag_1996.txt,magazine
least,most/least,subtract,1374,w_mag_1996.txt,magazine
many,many/few,add,4329,w_mag_1996.txt,magazine
few,many/few,subtract,2606,w_mag_1996.txt,magazine
increase,increase/decrease,add,1074,w_mag_1996.txt,magazine
decrease,increase/decrease,subtract,114,w_mag_1996.txt,magazine
